itn   integral        wgt average     chi2/dof        Q
-------------------------------------------------------
  1   0.86(74)        0.86(74)            0.00     1.00
  2   7.21(11)        7.07(11)           71.76     0.00
  3   7.44(20)        7.158(97)          37.19     0.00
  4   7.387(43)       7.350(39)          26.34     0.00
  5   7.410(20)       7.397(18)          20.22     0.00
  6   7.396(13)       7.397(11)          16.18     0.00
  7   7.390(10)       7.3934(75)         13.51     0.00
  8   7.3919(85)      7.3928(56)         11.59     0.00
  9   7.3934(77)      7.3930(45)         10.14     0.00
 10   7.4104(78)      7.3974(39)          9.43     0.00

itn   integral        wgt average     chi2/dof        Q
-------------------------------------------------------
  1   7.4024(70)      7.4024(70)          0.00     1.00
  2   7.3981(63)      7.4000(47)          0.21     0.65
  3   7.4053(56)      7.4022(36)          0.37     0.69
  4   7.4021(51)      7.4021(29)          0.24     0.86
  5   7.4000(47)      7.4016(25)          0.22     0.93
  6   7.3959(44)      7.4002(22)          0.42     0.83
  7   7.3989(40)      7.3999(19)          0.37     0.90
  8   7.4045(38)      7.4008(17)          0.48     0.85
  9   7.4088(35)      7.4023(15)          0.94     0.49
 10   7.4050(64)      7.4025(15)          0.85     0.57

